ַבֵַֹֿׁ ַבדַדבֹ ב׃ז׃ֹ ַבה־םב ַבֽדֱַׁ ( ַד 2024ד);;;;;;;
Integrated management of the red palm weevil (2023);;;;;;;
ַבדה״ו;ַבֽםַַׂ ַבדֿדֹ בוַ ַב־ֿדֹ;ֿֿ ַבה־םב ַבדֽזױ;ֿֿ ַבה־םב ַבדױַָ ;ֿֿ ַבה־םב  ַבדַבּ;ֿֿ ַבה־םב ַבדַׂב;;
דה״ֹ ַבׁםַײ; 142,848 ; 13,692,800 ; 26,114 ; 25,535 ; 290 ;;
דה״ֹ דֹ ַבדׁדֹ; 74,904 ; 4,905,946 ; 6,083 ; 6,054 ; 29 ;;
דה״ֹ ַבדֿהםֹ ַבדהזֹׁ; 65,622 ; 10,618,370 ; 17,873 ; 15,143 ; 590 ;;
דה״ֹ ַבױםד; 86,910 ; 8,159,742 ; 72,332 ; 45,139 ; 408 ;;
ַבדה״ֹ ַבװׁםֹ; 170,034 ; 17,998,055 ; 9,008 ; 9,005 ; 3 ;;
דה״ֹ ׃םׁ; 58,776 ; 4,754,132 ; 32,264 ; 30,464 ; -   ;;
דה״ֹ ָז; 29,352 ; 3,126,363 ; 5,890 ; 5,870 ; 8 ;;
דה״ֹ ֶַֽב; 82,092 ; 8,629,721 ; 22,716 ; 22,571 ; -   ;;
דה״ֹ הַּׁה; 24,186 ; 1,534,933 ; 5,400 ; 5,057 ; 343 ;;
דה״ֹ ַבַָֹֽ; 7,416 ; 285,555 ; 254 ; 254 ; -   ;;
דה״ֹ ַבּז; 31,596 ; 2,341,199 ; 6,503 ; 5,640 ; 5 ;;
ַבֵּדַבם ַבבם; 773,736 ; 76,046,816 ; 204,437 ; 170,732 ; 1,676 ;;
